Level,Phase,Stage_ID,Title,Classification,Frequency,Moved_From,Notes
1,1,Lv1-P1-S01,Be 동사 현재형,코어,최고,,완벽한 기초
1,1,Lv1-P1-S02,Be 동사 과거형,코어,최고,,완벽한 기초
1,1,Lv1-P1-S03,Be 동사 미래형,코어,최고,,완벽한 기초
1,2,Lv1-P2-S04,일반동사 현재형,코어,최고,,완벽한 기초
1,2,Lv1-P2-S05,일반동사 과거형,코어,최고,,완벽한 기초
1,2,Lv1-P2-S06,일반동사 미래형,코어,최고,,완벽한 기초
1,3,Lv1-P3-S07,Be 동사 부정문,코어,최고,,완벽한 기초
1,3,Lv1-P3-S08,일반동사 부정문,코어,최고,,완벽한 기초
1,3,Lv1-P3-S09,기본 전치사,코어,최고,Lv1-P6-S16,조기 배치로 표현력 향상
1,4,Lv1-P4-S10,Be 동사 의문문,코어,최고,,완벽한 기초
1,4,Lv1-P4-S11,일반동사 의문문,코어,최고,,완벽한 기초
1,4,Lv1-P4-S12,기본 Wh- 질문,코어,최고,,완벽한 기초
1,4,Lv1-P4-S13,관사 기본,코어,최고,Lv1-P6-S17,조기 배치로 명사 활용 향상
1,4,Lv1-P4-S14,지시대명사,코어,최고,Lv1-P6-S18,조기 배치로 지시 표현 향상
1,4,Lv1-P4-S15,기본 명령문·부탁,코어,최고,Lv1-P6-S19,조기 배치로 실용성 향상
1,5,Lv1-P5-S16,There is/are,코어,최고,,실용성 높은 존재 표현
1,5,Lv1-P5-S17,I like 선호 표현,코어,최고,,실용성 높은 선호 표현
1,5,Lv1-P5-S18,I have 소유 표현,코어,최고,,실용성 높은 소유 표현
1,5,Lv1-P5-S19,I want to 의도 표현,코어,최고,,실용성 높은 의도 표현
2,1,Lv2-P1-S01,기본 자기소개,코어,최고,,상황별 통합 학습
2,1,Lv2-P1-S02,정보 묻기 & 대답하기,코어,최고,,실제 대화 상황
2,1,Lv2-P1-S03,취미 & 관심사,코어,최고,,공통 관심사 찾기 상황
2,1,Lv2-P1-S04,연락처 & 만남 약속,코어,높음,,실용적 연락 표현
2,2,Lv2-P2-S05,하루 일과,코어,최고,,일상 루틴 표현
2,2,Lv2-P2-S06,과거 경험 이야기,코어,최고,,경험 공유 상황
2,2,Lv2-P2-S07,미래 계획,코어,최고,,계획 표현 상황
2,3,Lv2-P3-S08,정중한 요청,코어,최고,,도움 요청 상황
2,3,Lv2-P3-S09,제안하기,코어,최고,,함께할 활동 제안
2,3,Lv2-A1-S10,대화 연결어 - 기본,코어,높음,Level 10 전방배치,자연스러운 대화 흐름
2,3,Lv2-P3-S11,허가 & 금지,코어,높음,,규칙과 허락 표현
2,4,Lv2-P4-S12,의견 말하기,코어,최고,,생각과 느낌 표현
2,4,Lv2-P4-S13,동의 & 반대,코어,최고,,의견 반응 표현
2,4,Lv2-A2-S14,완곡한 거절 & 반응,코어,높음,Level 7-8 전방배치,정중한 거절 조기 습득
2,4,Lv2-P4-S15,감정 표현 심화,코어,높음,,구체적 감정과 이유
2,5,Lv2-P5-S16,원인 & 결과,코어,최고,,논리적 사고 표현
2,5,Lv2-P5-S17,기본 비교급,코어,높음,,사물과 사람 비교
2,5,Lv2-P5-S18,수량 표현,코어,높음,,양과 정도 표현
2,5,Lv2-P5-S19,조건 표현 기초,코어,높음,,간단한 조건과 결과
2,6,Lv2-P6-S20,현재완료 경험,코어,중간,,Level 3 연결 준비
2,6,Lv2-P6-S21,간접화법 기초,코어,중간,,Level 3 연결 준비
2,6,Lv2-P6-S22,종합 대화 연습,코어,최고,,실제 상황 시뮬레이션
3,1,Lv3-P1-S01,과거 경험 상세 설명,코어,최고,,개인 경험 심화 표현
3,1,Lv3-P1-S02,기억에 남는 여행,코어,높음,,여행 경험 공유
3,1,Lv3-P1-S03,성공과 실패 경험,코어,최고,,성취와 좌절 상황
3,1,Lv3-P1-S04,학습 및 성장 경험,코어,높음,,자기계발 상황
3,2,Lv3-B2-S05,복잡한 과거시제,브릿지,중간,,Level 4 연결 준비
3,2,Lv3-P2-S06,미래 계획 및 목표,코어,최고,,계획 수립 상황
3,2,Lv3-P2-S07,예상되는 변화,코어,높음,,전망과 예측
3,2,Lv3-P2-S08,조건부 계획,코어,최고,,상황별 대안 계획
3,2,Lv3-P2-S09,일정 변경 협의,코어,최고,,계획 수정 상황
3,3,Lv3-B3-S10,미래완료 진행형,브릿지,중간,,고급 시제 조기 도입
3,3,Lv3-P3-S11,복잡한 과정 설명,코어,최고,,절차 설명 상황
3,3,Lv3-P3-S12,순서별 안내,코어,최고,,단계별 가이드
3,3,Lv3-P3-S13,문제해결 과정,코어,최고,,해결 프로세스 설명
3,3,Lv3-P3-S14,변화 과정 설명,코어,높음,,발전과 변화
3,4,Lv3-B4-S15,수동태 활용,브릿지,중간,,Level 4 비즈니스 준비
3,4,Lv3-P4-S16,개인 의견 판단,코어,최고,,주관적 견해 표현
3,4,Lv3-P4-S17,찬반 근거 제시,코어,최고,,논리적 주장
3,4,Lv3-P4-S18,추천 및 조언,코어,최고,,권고사항 제공
3,4,Lv3-P4-S19,가능성 표현,코어,높음,,확률과 추정
3,5,Lv3-P5-S20,관계 설명,코어,높음,,인간관계 상황
3,5,Lv3-P5-S21,갈등 해결,코어,최고,,문제 상황 대처
3,5,Lv3-P5-S22,협력 경험,코어,최고,,팀워크 상황
3,6,Lv3-P6-S23,감정 정교 표현,코어,높음,,복합적 감정
3,6,Lv3-P6-S24,문화적 차이,코어,최고,,다문화 상황 대응
3,6,Lv3-P6-S25,예상 외 상황,코어,높음,,돌발상황 대처
3,6,Lv3-P6-S26,종합 상황 설명,코어,높음,,복합적 상황 통합
4,1,Lv4-P1-S01,장기 비즈니스 계획,코어,최고,,전략적 계획 수립
4,1,Lv4-P1-S02,SMART 목표 설정,코어,최고,,구체적 목표 표현
4,1,Lv4-P1-S03,일정 우선순위 조정,코어,최고,,스케줄 관리
4,1,Lv4-P1-S04,성과 결과 평가,코어,최고,,실적 분석 표현
4,2,Lv4-P2-S05,논리적 설득,코어,최고,,근거 기반 주장
4,2,Lv4-P2-S06,협상 타협,코어,최고,,비즈니스 협상
4,2,Lv4-P2-S07,프레젠테이션 기법,옵션,높음,,발표 스킬
4,2,Lv4-A2-S08,건설적 피드백,브릿지,최고,,Level 5 평가 표현 연결
4,3,Lv4-P3-S09,데이터 해석 설명,코어,최고,,분석 결과 표현
4,3,Lv4-P3-S10,간결한 부가 설명,옵션,높음,,문서 작성 축약 표현
4,3,Lv4-P3-S11,프로세스 상세 설명,코어,최고,,절차 문서화
4,3,Lv4-P3-S12,인과관계 분석,코어,최고,,원인 결과 분석
4,4,Lv4-P4-S13,전문 의견 권고,코어,최고,,전문가 조언
4,4,Lv4-P4-S14,비판적 분석 평가,코어,최고,,객관적 평가
4,4,Lv4-P4-S15,창의적 해결책,코어,최고,,혁신적 대안 제시
4,4,Lv4-A4-S16,복잡한 문제해결,브릿지,최고,,Level 5 전략적 사고 연결
4,5,Lv4-P5-S17,시장 트렌드 분석,코어,최고,,시장 동향 해석
4,5,Lv4-P5-S18,시나리오 플래닝,코어,최고,,미래 예측 표현
4,5,Lv4-P5-S19,리스크 평가 관리,옵션,높음,,위험 관리 전문용어
4,5,Lv4-P5-S20,투자 ROI 분석,코어,최고,,재무 분석 표현
4,6,Lv4-P6-S21,팀 동기부여,코어,최고,,리더십 소통
4,6,Lv4-P6-S22,조직변화 관리,옵션,높음,,변화관리 전문영역
4,6,Lv4-P6-S23,위기상황 대응,코어,최고,,위기관리 의사결정
4,6,Lv4-A6-S24,글로벌 비즈니스,브릿지,최고,,Level 5 국제 비즈니스 연결
